narrative,log_or
money keep money,2.8423091640954863
government control healthcare,2.860661978225666
doctor practice offense,2.8707064172361747
family keep money,2.97807343108004
american keep money,3.148363475273434
person make global warming,3.626830071446191
god bless men women,3.896765271171994
american rely oil,4.361362769145072
government approve healthcare,4.642266985965445
energy affect family,4.869485770331242
budget end medicare,-4.286518792612704
american lose unemployment (benefits),-3.950048857584681
budget cut medicaid,-3.874537129991056
american exhaust unemployment (benefits),-3.813912292002661
worker exhaust money,-3.726900626783821
budget cut education ,-3.2385485031371446
person earn men women,-2.971234233662784
republican hold prisoner,-2.971234233662784
person make dollar,-2.968006014826625
men women earn dollar,-2.814391113653557
